Age in 5-year groups ,Region,Religion,Ethnicity,Education in single years,Number of household members,Educational attainment,Frequency of reading newspaper or magazine,Frequency of listening to radio,Frequency of watching television,Literacy,Ever participated in a literacy program,Use of internet,Frequency of using internet last month,Owns a mobile telephone,Wealth index factor score for urban/rural,Wealth index for urban/rural,Wealth index factor score combined (5 decimals)
2.0,1.0,6.0,1.0,6.0,4.0,2.0,0.0,2.0,2.0,0.0,,0.0,0.0,0.0,-128393.0,1.0,-46172.0
2.0,1.0,5.0,1.0,9.0,6.0,3.0,0.0,2.0,2.0,2.0,,0.0,0.0,1.0,50098.0,4.0,94741.0
4.0,1.0,5.0,1.0,9.0,5.0,3.0,1.0,2.0,2.0,2.0,,0.0,0.0,1.0,31557.0,3.0,80104.0
4.0,1.0,5.0,1.0,8.0,5.0,3.0,0.0,1.0,2.0,2.0,,0.0,0.0,1.0,-46751.0,2.0,18282.0
4.0,1.0,3.0,1.0,9.0,3.0,3.0,0.0,2.0,2.0,1.0,,1.0,1.0,1.0,22103.0,3.0,72640.0
3.0,1.0,4.0,3.0,9.0,12.0,3.0,0.0,0.0,2.0,1.0,,0.0,0.0,1.0,68840.0,4.0,6884.0
3.0,1.0,4.0,3.0,9.0,12.0,3.0,0.0,0.0,2.0,1.0,,0.0,0.0,1.0,68840.0,4.0,6884.0
4.0,1.0,4.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,3405.0,3.0,-50151.0
5.0,1.0,5.0,3.0,0.0,10.0,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,-5773.0,3.0,-58151.0
3.0,1.0,4.0,3.0,9.0,4.0,3.0,0.0,1.0,1.0,2.0,,0.0,0.0,0.0,-14006.0,3.0,-65327.0
2.0,1.0,5.0,3.0,6.0,4.0,3.0,0.0,0.0,1.0,1.0,,0.0,0.0,1.0,4116.0,3.0,-49532.0
2.0,1.0,5.0,3.0,6.0,4.0,3.0,0.0,0.0,1.0,1.0,,0.0,0.0,1.0,4116.0,3.0,-49532.0
1.0,1.0,5.0,3.0,7.0,8.0,3.0,0.0,2.0,2.0,1.0,,0.0,0.0,0.0,22620.0,3.0,-33403.0
5.0,1.0,5.0,3.0,5.0,7.0,1.0,0.0,0.0,2.0,0.0,,0.0,0.0,1.0,62596.0,4.0,1442.0
